PC1,PC2,PC3,PC4,PC5,PC6,Target,samples
-1.3000316968154682,35.200971276549666,-21.74973950065402,-9.444752487370664,-5.0142562238680615,-1.9651294041328113,0,sample_1
56.05717760013838,13.626496157324755,-5.116101013127939,-17.371568990156142,-4.240199687235192,-9.883051824677201,1,sample_2
-9.801966528711345,28.558717337568275,-8.153870278706128,-7.602325416121729,10.317595196325033,-22.71707451585481,0,sample_3
63.3597229323729,7.565880846366198,-6.5580683457630204,-25.412749374626486,15.57147963216289,-22.743654759898654,1,sample_4
-9.95487417368502,33.400619862154635,-26.719705773411455,-16.874279439638865,19.05873306783399,-19.1610413603087,0,sample_5
30.254015775494437,28.214392158259006,-26.889380234211,-31.65577278834261,-3.8512191343015183,-14.387127909850026,1,sample_6
6.794824091351534,35.70710665141585,-32.89866615672373,-14.097166695757798,-14.452702503546409,6.287139156926625,0,sample_7
58.98526290181663,13.076870580167844,-10.536878850511375,-20.74834159166423,-2.528195367542421,-8.918741034115664,1,sample_8
0.41466954422493335,40.512908948315115,-33.07139834874055,-13.260794687135519,-24.13861509989371,9.066849708569343,0,sample_9
69.7064184642081,18.577237436698613,-20.996022039881527,-28.76625448190023,-25.3444035698329,3.467384170655009,1,sample_10
4.056474125330353,31.236323004475167,-24.776416350283174,-7.312195638342058,-6.69130293105048,-6.050896542925608,0,sample_11
73.09755430655893,8.835133975764391,-2.923226232695128,-30.364192409429936,5.74261814024065,-22.06203001626779,1,sample_12
-16.974274969887993,27.283934660501345,-5.39931958979496,-2.4817497754595323,33.549027158893765,-28.894684724930308,0,sample_13
48.218929682747024,13.320365229038247,3.407591687247999,-17.5716966843483,14.620742858838275,-22.606498630811586,1,sample_14
-8.715345062234995,39.75074723561894,-29.02971381473539,-18.50371636062604,4.3473191215312585,-4.8099805626202965,0,sample_15
39.12893047824785,22.083680835454704,-11.468367823833795,-28.850299664703645,-0.23753066194013264,-15.186378632475952,1,sample_16
-4.567373791500952,40.015018785063134,-26.910274399341898,-17.268964112046305,-14.076202044335904,-2.849487147687188,0,sample_17
38.86510826835838,30.811084864738827,-25.09616618058514,-31.31529808971141,-20.373389911260745,-0.27886862084247216,1,sample_18
-3.5339991292347808,37.03681451633032,-20.6137290599344,-14.024264946074506,-9.77885365111738,-5.02315949719122,0,sample_19
38.48039458309182,25.62944185544266,-17.426226029117657,-26.977872177478414,-14.327620875702287,-12.63237840317218,1,sample_20
-10.544628870275929,30.99092008882844,-14.82255515408341,-6.111933065433833,6.220538805643253,-12.86311192017689,0,sample_21
39.06764313473436,12.98578614716965,0.016638714793351512,-14.483535540792328,17.962185676582177,-24.07203324221855,1,sample_22
3.3057774961015536,24.266879300840653,-11.919414453846572,0.11976599204623303,11.824877462448624,-17.66947172540421,0,sample_23
