PC1,PC2,PC3,PC4,PC5,PC6,Target,samples
-1.195869358672982,34.67564173891887,-22.56609133225902,-10.12448711033548,5.437069940632608,-27.289065776383712,0,sample_1
56.21988454361402,13.70743334768062,-5.176981876283122,-17.50017051239309,1.7558950204353385,-25.040686777207448,1,sample_2
-9.82985418901857,28.700385313270775,-9.131298361637146,-8.827665089597335,-17.92307308487821,-37.25375130499904,0,sample_3
63.60182191020832,7.700061067890081,-6.719630491455955,-26.42295644045888,-22.782804511924255,-22.051175912482023,1,sample_4
-9.94448255803593,32.47123067603518,-27.30847646166554,-18.76829608581452,-26.321905783757376,-25.460404477185907,0,sample_5
30.309838277391638,26.882772124838336,-26.53863594671726,-31.807596805595136,-1.2892692440579117,-32.454520479677434,1,sample_6
6.854689968018568,34.64083069456613,-33.29343430758874,-14.314767900899911,18.31581492362646,-23.624552218968475,0,sample_7
59.1712917103777,12.850677277538843,-10.423174449334427,-20.912588917060308,0.08392792569668953,-20.482244013250053,1,sample_8
0.37412402905426795,38.99857366015723,-33.10458528327065,-12.659959169879276,27.873451361280704,-23.284527781735523,0,sample_9
69.81060454717094,17.645010452438967,-20.321306395990028,-27.526581766078433,28.01870504662346,-21.26062600368369,1,sample_10
4.133485671020416,30.43344394451849,-25.136141248447707,-7.684591697337256,4.728210339772793,-27.591974884273313,0,sample_11
73.23064878076828,9.002064354525135,-2.7787863533991577,-30.624367161379965,-12.329922761103633,-25.57290691565559,1,sample_12
-16.988530395667745,27.50157455320551,-6.605375475616661,-5.0159168215332235,-44.668761841466896,-20.726312542659265,0,sample_13
48.364718144652755,14.11937937649749,2.7836993155189926,-18.741430849014773,-21.15900924232042,-25.432826667411263,1,sample_14
-8.72126401845245,38.96020735193974,-29.8070567029982,-19.767995727095645,-4.4906152939152,-24.265330107349865,0,sample_15
39.16073740734826,21.782582710529255,-11.584721337884373,-29.188498587425173,-3.7218553855462675,-30.810059531434707,1,sample_16
-4.659620778427912,38.97091774131892,-27.19421756563437,-17.270235331560006,14.032223161117303,-32.74387477922294,0,sample_17
38.85881436982405,29.830269410635207,-24.87579655572749,-30.663780430885325,22.18519267086284,-28.557159637452465,1,sample_18
-3.6321314097574797,36.23302772633674,-20.99629162373457,-14.199990617980264,8.415072467037884,-30.160500764822167,0,sample_19
38.437535962467955,24.717041376306494,-16.9163479805865,-26.427527349644294,9.92688567326238,-36.08860708546252,1,sample_20
-10.580726301363997,30.451520459983765,-15.449541589663655,-7.061652670191393,-11.246344176331645,-23.518410451086776,0,sample_21
39.244296634771345,13.411229204132042,-0.47885046494026834,-15.714529863744396,-26.165685231998644,-21.406652089168606,1,sample_22
3.4657030613143487,24.4156506612264,-12.766642673112209,-1.1902470146334696,-18.20482129723591,-26.471707305247765,0,sample_23
45.62081098846947,11.5260122846962,-2.232939355529486,-17.33539027376178,-22.81831022352672,-22.492394524198534,1,sample_24
-5.0351851023646885,31.13614252277366,-14.365980097376736,-13.56468802896753,-12.974754704905083,-25.005815128908278,0,sample_25
52.26243519319289,8.096407413178886,2.666172372793714,-21.679585198734596,-24.80696179834472,-27.255542769481668,1,sample_26
-7.9688554082041065,29.635166224398876,-13.888844464851491,-7.235460036382156,-12.072940159632301,-17.767973657077587,0,sample_27
26.56740128010294,20.5551953792911,-7.616917531691461,-12.329619255182509,-15.5778562711146,-21.565410945689038,1,sample_28
-12.972071873525445,26.007620358676505,-10.65798881282635,-6.434959104381798,-38.99525525856565,-28.02927399904142,0,sample_29
24.131335086125592,15.678344866413092,-5.725466347576166,-11.114708688721233,-33.62164933745931,-27.50726179453269,1,sample_30
-7.699250491495691,31.9228306160011,-19.420230576474843,-10.610004575687222,-2.7161194402435775,-34.71623644766603,0,sample_31
30.95217831866342,18.18947448620343,-8.685908860864988,-13.959660924380543,-4.965450964582676,-33.811461211721785,1,sample_32
-12.79229724173299,30.19526888891798,-20.952431585636145,-22.63443613886137,-12.675098647570403,-34.33197737704646,0,sample_33
67.00313297176673,1.403618740399339,-0.4869791096122542,-38.1186489866948,-34.0062289098617,-24.98384387047358,1,sample_34
-11.261747279478074,25.846844134109272,-18.718229347437532,-14.885418711237064,-23.15103463580929,-31.892439367862234,0,sample_35
31.725550117046385,12.316744214500515,-4.126147408149311,-25.562111247585356,-21.942693952441648,-41.10168363697005,1,sample_36
-11.212612659890606,31.21661063025339,-19.982721458435588,-16.716870610793446,-13.678080629151598,-32.81712039472419,0,sample_37
64.34831874291659,8.602987216350945,-3.686015758199157,-39.861370129439315,-20.46811527356874,-26.476344362956706,1,sample_38
-16.602375754377373,33.20417803706651,-22.71146625649951,-19.35226144468405,-30.085096560806857,-38.05435411560122,0,sample_39
40.54492894791152,14.921749906225681,-7.995414869643629,-24.8338781494102,-13.333209542120178,-42.1915523025387,1,sample_40
-3.3617955072542087,36.7861854620128,-29.957873713511056,-20.55091213557014,18.697060455233068,-25.732129674412317,0,sample_41
39.101008745237095,21.38857108668597,-15.888765733310608,-30.247816651445298,7.102198744561805,-28.869466169231575,1,sample_42
-15.748147361018685,38.179037345628736,-23.738050756847983,-19.27314356977818,5.741574949094229,-36.341135566843356,0,sample_43
35.864189611798416,16.21345160159915,-7.722050931124258,-20.361931489960167,3.138788049194573,-28.876721995510998,1,sample_44
-20.298508312831768,25.259272044126163,-7.78992729851585,-17.42189422486765,-32.629777694151606,-28.06937276973062,0,sample_45
41.95918773074999,11.489196030825864,-4.608665388285492,-29.47379759725041,-28.62920819045887,-29.047675469244563,1,sample_46
-17.33055727083777,31.859101482022535,-19.993286818619783,-19.917071375421568,-27.445017666371324,-21.491816019431173,0,sample_47
41.37807627149495,16.18269381837823,-11.715751192300756,-27.935411113771742,-9.13124124245828,-29.623030129386777,1,sample_48
-8.231357508375291,31.65676869305005,-22.063508937181457,-21.72349864926205,-4.76198404685623,-37.277024901745044,0,sample_49
49.48738179907491,11.089255485621946,-5.303518095710476,-36.09905541719944,-16.680364238316322,-25.920471438109487,1,sample_50
-10.381468850544795,33.40018545741426,-25.79004079442193,-22.463016927871347,-8.62398890201708,-38.165086089751455,0,sample_51
47.38803274997493,11.23896018905727,-8.564755844652343,-39.30878235967234,-30.43215475909249,-29.919807113354015,1,sample_52
-4.237008001053571,32.99936943115923,-30.93728381337324,-22.384749538492507,-3.2916334009193897,-31.441258994429813,0,sample_53
47.18745377693709,14.129380285743846,-11.36555814458109,-34.31808635502709,-13.523934858576784,-33.26762369262704,1,sample_54
-10.118934891579121,39.52634460750836,-25.33623778654273,-20.585478928871172,24.364153050017855,-26.920857761658187,0,sample_55
